Name,Roll,Email,Mobile,Gender,College,Year,Event,Group,Transaction
Amrutha,24kb1a0559,amrutha@gmail.com,8098765345,Female,nbkrist,2nd Year,Cultural Events,None,9.88E+14
apshin,24kb1a05hc,apshin@gmail.com,82568980965,Female,nbkrist,2nd Year,Tech Talk,flag pair,7.65E+13
deekshitha,24kb1a05fp,deekshi@gmail.com,87654357899,Female,NBKRIST,2nd Year,Code Craft,None,6.79E+15
shahanaz,24kb1a05jm,shainu@gmail.com,98553678076,Female,NBKRIST,2nd Year,Tech Talk,flag pair,9.08E+15
amulya,24fh0957,amulya@gmail.com,985654579,Female,Jntu,3rd Year,Code Craft,None,7.97E+13
Jesinth,24k1b24056,lucky@gmail.com,87635638292,Male,SVCN,2nd Year,Cyber Hunt,None,9.88E+12
rahul,23hj88641,rahul@gmail.com,63057864556,Female,Narayana,3rd Year,Tech Talk,alpha squad,9.88E+12
Ashif,23ks1o0576,shaikapshinkpm@gmail.com,9.66E+11,Male,Audisankara,4th Year,Tech Talk,flag pair,9.79E+13
anvitha,24jh1a0986,anvitha@gmail.com,9.66E+11,Female,Narayana,2nd Year,Code Craft,None,87346757689
santhosh,23kb1a0987,santhosh@gmail.com,7843656908,Female,Audisanakara,2nd Year,ArtByte,None,98764567y76y766
neha,25kb1a056,neha@gmail.com,678675657,female,nbkrist,1st year,ArtByte,None,6.88E+16
Divya,22kb1a0587,divya@gmail.com,874587688,Female,Nbkrist,4th Year,Tech Talk,alpha squad,7.76E+11
hema,24kb1a05cy,hema@gmail.com,346577909,Female,nbkrist,2nd Year,ArtByte,None,7.65E+13
shaheena,24kv87523,shaheena@gmail.com,875889800,Female,audisankara,2nd Year,Cultural Events,None,2256798065
sucharitha,24kb1a05c2,suchi@gmail.com,1234567890,Female,geetanjali,3rd Year,Code Craft,None,9.88E+11
anuradha,24kb236221,anuradha@gmail.com,9786546578,Female,nbkrist,1st Year,Cultural Events,None,23456788561
sravya,24kb1a987,sravya@gmail.com,9876498,Female,nbkrist,3rd Year,Cyber Hunt,None,9897654-09876
jaanu,24kn42567,jaanu@gmail.com,9876542,Female,nbkrist,4th Year,Cyber Hunt,None,-8976543245
Arun,24kb1a098,arun@gmail.com,86457363587,Male,Nbkrist,3rd Year,Code Craft,None,9.87632E+11
Anitha,24hc11a0754,anitha@gmail.com,874564389,Female,Narayana,2nd Year,Code Craft,None,9.70657E+13
Deepika,22kb1a0567,deepika@gmail.com,96476586465,Female,JNTU,4th Year,ArtByte,None,7896563452345678
rajesh,24la1b0644,rajesh@gmail.com,9764653668,Female,Audisankara,2nd Year,Tech Talk,alpha squad,0897654337899876
